time,text_tokens,total_consumed_tokens,total_loss,reduced_llm_loss,reduced_balancing_loss,loss,maxvio,efficient_attn_ratio,grad_norm,max_memory_GB,reserved_memory_GB,tgs,e2e_tgs
8.5970,49467.0,1586281.0,1.13300705,1.07874298,0.05426407,0.00965306,2.13033104,0.49876413,0.27698228,36.18,40.78,5754.0,3781.7
8.3938,33600.0,1619881.0,1.11733079,1.06285191,0.05447888,0.00853440,2.04119158,0.50032234,0.33844942,34.60,40.78,4003.0,3786.0
8.4053,33600.0,1653481.0,1.11134636,1.05716372,0.05418269,0.00784962,2.00875282,0.50032234,0.32441434,34.60,40.78,3997.5,3790.1
8.2880,45452.0,1698933.0,1.12511957,1.07157183,0.05354775,0.00917643,1.94527960,0.45490083,0.25849888,35.77,40.78,5484.1,3821.6
8.4174,33601.0,1732534.0,1.13191032,1.07854509,0.05336523,0.00648423,1.86361349,0.50032312,0.23863767,34.60,40.78,3991.8,3824.8
8.2577,44489.0,1777023.0,1.10220218,1.04885852,0.05334371,0.00873990,1.84543741,0.44882548,0.26227427,35.67,40.78,5387.6,3852.7
8.2622,45131.0,1822154.0,1.13134491,1.07845294,0.05289208,0.00947567,1.88374043,0.45267794,0.28854740,35.74,40.78,5462.3,3881.0
8.5845,49252.0,1871406.0,1.11501384,1.06242740,0.05258652,0.00842264,1.71004176,0.49544382,0.23702091,36.16,40.78,5737.3,3914.3
8.4015,33600.0,1905006.0,1.12164867,1.06909084,0.05255780,0.00620945,1.65030181,0.50032234,0.24874127,34.60,40.78,3999.3,3915.7
8.4641,48180.0,1953186.0,1.10874128,1.05610240,0.05263883,0.00799488,1.63835478,0.48147926,0.26235181,36.05,40.78,5692.3,3946.1
8.4635,47772.0,2000958.0,1.10037065,1.04796934,0.05240125,0.00734361,1.62268472,0.47660527,0.31268707,36.00,40.78,5644.5,3974.6
8.2236,58322.0,2059280.0,1.11129749,1.05943477,0.05186289,0.00834042,1.58548975,0.41804379,0.43138990,37.07,40.78,7092.1,4024.7
7.9774,52767.0,2112047.0,1.08746135,1.03536510,0.05209627,0.00947704,1.55259395,0.38752034,0.57221752,36.51,40.78,6614.5,4064.4
8.5941,49330.0,2161377.0,1.13498676,1.08346236,0.05152444,0.00932376,1.43859673,0.49656934,0.61916161,36.16,40.78,5740.0,4091.7
8.4261,47717.0,2209094.0,1.11411011,1.06257665,0.05153341,0.00677118,1.48415601,0.47598886,0.38958031,36.00,40.78,5663.0,4116.3
8.6012,45529.0,2254623.0,1.10745394,1.05620039,0.05125359,0.00769597,1.42894363,0.45339322,0.43977469,35.71,40.78,5293.3,4121.3
9.0461,63334.0,2317957.0,1.12882102,1.07795584,0.05086517,0.00789419,1.34971130,0.47068208,0.47879159,37.52,40.84,7001.3,4168.1
8.3125,45706.0,2363663.0,1.09744418,1.04619038,0.05125370,0.00776614,1.37806582,0.45677987,0.44452381,35.73,40.84,5498.5,4187.7
8.6537,53412.0,2417075.0,1.11134553,1.06056702,0.05077835,0.00910561,1.30175829,0.40128848,0.61286545,36.51,40.84,6172.2,4217.6
8.6594,45465.0,2462540.0,1.08138669,1.03062308,0.05076360,0.00688795,1.25192368,0.45499465,0.32640678,35.71,40.84,5250.3,4233.0
8.3913,33599.0,2496139.0,1.11744273,1.06695735,0.05048544,0.00818018,1.22556221,0.50032157,0.47606793,34.53,40.84,4004.0,4229.7
8.3715,35537.0,2531676.0,1.09573305,1.04521084,0.05052225,0.01086529,1.15192914,0.47502467,0.33822203,34.72,40.84,4245.0,4229.9
8.3842,53238.0,2584914.0,1.11195838,1.06193638,0.05002206,0.01008561,1.09113979,0.44982401,0.32935223,36.49,40.84,6349.8,4259.1
8.3918,33597.0,2618511.0,1.11972523,1.06954288,0.05018237,0.00937194,1.14343929,0.50032002,0.42062929,34.53,40.84,4003.5,4255.6
8.4172,64337.0,2682848.0,1.10629058,1.05647898,0.04981163,0.00903723,1.11280239,0.43202958,0.51777494,37.62,40.94,7643.5,4301.3
8.4066,33600.0,2716448.0,1.12600470,1.07615185,0.04985286,0.00881175,0.97778720,0.50032234,0.70154846,34.53,40.94,3996.9,4297.2
8.5860,49455.0,2765903.0,1.12065923,1.07106745,0.04959184,0.00779780,1.04406381,0.49865466,0.68994236,36.11,40.94,5759.9,4316.8
8.3974,33598.0,2799501.0,1.10543454,1.05566394,0.04977067,0.00680978,0.91237891,0.50032079,0.53728378,34.53,40.94,4001.0,4312.7
8.5942,49268.0,2848769.0,1.11665297,1.06715620,0.04949677,0.00807655,0.97186375,0.49566287,0.55967027,36.09,40.94,5732.7,4331.2
8.1511,55707.0,2904476.0,1.10158408,1.05217350,0.04941064,0.00794057,1.05106902,0.41300860,0.67607981,36.75,40.94,6834.3,4361.9
8.1616,41513.0,2945989.0,1.08755267,1.03809917,0.04945355,0.00987749,0.89424431,0.44096884,0.39634359,35.31,40.94,5086.4,4370.6
8.3292,45946.0,2991935.0,1.08693469,1.03742874,0.04950606,0.01051689,0.90500492,0.45870242,0.55916053,35.75,40.94,5516.2,4384.6
8.5530,62697.0,3054632.0,1.09964848,1.05065250,0.04899597,0.00764305,0.90266979,0.46196589,0.53256589,37.46,40.94,7330.4,4421.0
8.1423,40421.0,3095053.0,1.09660780,1.04748833,0.04911937,0.00714751,0.86749113,0.44222486,0.52957094,35.20,40.94,4964.3,4427.3
8.3949,33600.0,3128653.0,1.09474301,1.04559231,0.04915069,0.00642649,0.81530380,0.50032234,0.65130776,34.53,40.94,4002.4,4422.2
